id,joint_position,m6
176,[-2.8851225  1.0696071  1.2005881 -0.0684595  0.4280543 -0.0703249 -0.4068414],[0.853867 0.452018 0.1277  ]
177,[-2.8846426  1.0699237  1.2007819 -0.0684656  0.4285102 -0.0679678 -0.4057875],[0.854138 0.451798 0.127545]
178,[-2.8838282  1.070555   1.2010754 -0.0684092  0.4296632 -0.0629837 -0.4042707],[0.854838 0.451321 0.127101]
179,[-2.8831503  1.071173   1.201215  -0.0684729  0.4304657 -0.0588861 -0.4033183],[0.855166 0.451086 0.126951]
180,[-2.8829217  1.0713866  1.2011321 -0.0683793  0.4305534 -0.0569951 -0.403017 ],[0.855322 0.450938 0.126952]
181,[-2.882633   1.0722335  1.2010626 -0.0682957  0.4307156 -0.0503988 -0.4022835],[0.85599  0.450667 0.126828]
182,[-2.8826694  1.0723346  1.2010663 -0.0682509  0.430728  -0.0481415 -0.4022644],[0.856121 0.450622 0.126782]
183,[-2.8830867  1.0729602  1.2018764 -0.0681743  0.4307761 -0.0389606 -0.4005529],[0.857158 0.451151 0.125898]
184,[-2.883873   1.0730289  1.2053517 -0.0682186  0.4307046 -0.0334271 -0.3948605],[0.858402 0.452369 0.123743]
185,[-2.885685   1.0723918  1.2103089 -0.0684006  0.4302831 -0.0286399 -0.3883348],[0.860052 0.454036 0.120131]
186,[-2.8876669  1.0713695  1.2141118 -0.0679334  0.4300032 -0.0247042 -0.3817966],[0.861169 0.455561 0.117228]
187,[-2.8882291  1.0710471  1.2151513 -0.0676697  0.4300938 -0.0237528 -0.3802096],[0.861399 0.455874 0.116564]
188,[-2.8904474  1.0707782  1.2225851 -0.0658726  0.4297504 -0.0161194 -0.3735987],[0.863447 0.457638 0.112724]
189,[-2.8924487  1.0704044  1.231301  -0.0650557  0.4268508 -0.0083996 -0.3670818],[0.866538 0.458886 0.108095]
190,[-2.892869   1.0698894  1.2326617 -0.0649213  0.425559  -0.0063924 -0.3663437],[0.867105 0.458997 0.107186]
191,[-2.8942878e+00  1.0684131e+00  1.2397122e+00 -6.3774295e-02  4.2162371e-01  5.7139492e-04 -3.6283383e-01],[0.869947 0.459471 0.102346]
192,[-2.8945379e+00  1.0680831e+00  1.2417912e+00 -6.3500255e-02  4.2120886e-01  2.0191188e-03 -3.6170605e-01],[0.870578 0.459657 0.101319]
193,[-2.8961108  1.0658992  1.2484214 -0.0643961  0.4184785  0.0074269 -0.3576479],[0.873745 0.460661 0.096134]
194,[-2.898272   1.0597423  1.2508144 -0.0639288  0.4118099  0.0149753 -0.3546742],[0.876148 0.46109  0.09059 ]
195,[-2.8994155  1.0567954  1.2507472 -0.063233   0.4118519  0.0190955 -0.3523836],[0.87637  0.461705 0.088261]
196,[-2.8996778  1.0561011  1.2508366 -0.0630032  0.4119043  0.0203685 -0.3512007],[0.876443 0.461888 0.087755]
197,[-2.9011285  1.0531371  1.2529714 -0.0611275  0.4116149  0.0296263 -0.3456761],[0.877494 0.462721 0.084539]
198,[-2.9013746  1.0529273  1.2541637 -0.059729   0.411314   0.0322176 -0.3449452],[0.877755 0.462818 0.084008]
199,[-2.9024398  1.0519412  1.2608024 -0.0537266  0.4107857  0.0440783 -0.3427105],[0.879719 0.463259 0.080234]
200,[-2.9025276  1.0518306  1.2626796 -0.0517861  0.410522   0.0475198 -0.3420632],[0.880155 0.463348 0.079402]
201,[-2.9029984  1.0513404  1.266819  -0.0475071  0.4101739  0.0548797 -0.3406861],[0.881566 0.46349  0.076485]
202,[-2.9031265  1.0510219  1.2691827 -0.0449265  0.4099941  0.0585045 -0.340047 ],[0.881985 0.463537 0.075445]
203,[-2.9033341  1.0509647  1.2715946 -0.0421576  0.4099088  0.0619054 -0.3393438],[0.882442 0.463661 0.074385]
204,[-2.9044225  1.0503486  1.284242  -0.0276222  0.4072828  0.0804226 -0.3365324],[0.885399 0.463879 0.068435]
205,[-2.9047077  1.0501083  1.2864435 -0.0249177  0.4060946  0.0842045 -0.336296 ],[0.885971 0.463821 0.067451]
206,[-2.905314   1.0497878  1.290454  -0.0199767  0.4031224  0.0921491 -0.3360954],[0.887564 0.463653 0.064809]
207,[-2.9059396  1.0495189  1.2939062 -0.0157603  0.4013481  0.0994064 -0.3362147],[0.888529 0.463704 0.063217]
208,[-2.9067106  1.0495227  1.2974536 -0.0112863  0.4003534  0.1067104 -0.3361556],[0.889792 0.463921 0.06125 ]
209,[-2.9079669  1.0500434  1.3028159 -0.0042164  0.3999119  0.1170101 -0.3361229],[0.890765 0.46441  0.059561]
210,[-2.9103332  1.0507434  1.3107352  0.0076647  0.3996758  0.1356648 -0.3360851],[0.892474 0.465455 0.056542]
211,[-2.9107044  1.0510638  1.3127928  0.0111717  0.3994508  0.139651  -0.3361102],[0.892632 0.465657 0.055928]
212,[-2.9122934  1.0519469  1.3203086  0.0237348  0.398665   0.151465  -0.3361306],[0.89349  0.466155 0.053671]
213,[-2.9126084  1.0524066  1.3233033  0.0282283  0.3984156  0.1551701 -0.3361342],[0.893747 0.466229 0.052967]
214,[-2.9130428  1.0528625  1.3266408  0.0329514  0.3982258  0.1590518 -0.3362047],[0.894072 0.466363 0.052238]
